Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000035895	fndc5b	fibronectin type III domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-060503-916]	19	29383486	29437109	-1
ENSDARG00000083189	arhgap19	Rho GTPase activating protein 19 [Source:ZFIN;Acc:ZDB-GENE-100922-157]	22	34960346	34979177	-1
ENSDARG00000105522	si:ch211-196f2.3	si:ch211-196f2.3 [Source:ZFIN;Acc:ZDB-GENE-160728-62]	7	26100024	26110819	1
ENSDARG00000103487	BX936431.1		6	32320838	32323758	1
ENSDARG00000092446	BX571825.7		19	23043685	23045243	1
ENSDARG00000078600	ldlrad3	low density lipoprotein receptor class A domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1533]	25	37325054	37331513	-1
ENSDARG00000061651	marveld2b	MARVEL domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-050208-54]	5	26204561	26211846	1
ENSDARG00000096514	si:ch211-286b5.2	si:ch211-286b5.2 [Source:ZFIN;Acc:ZDB-GENE-121214-251]	1	55239160	55247253	1
ENSDARG00000044387	cldn2	claudin 2 [Source:ZFIN;Acc:ZDB-GENE-040912-26]	21	38002879	38009507	1
ENSDARG00000027649	cpsf3	cleavage and polyadenylation specific factor 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3275]	20	29619820	29633507	-1
ENSDARG00000097721	CU207301.3		25	37331128	37337143	1
ENSDARG00000037353	frs2b	fibroblast growth factor receptor substrate 2b [Source:ZFIN;Acc:ZDB-GENE-040718-406]	25	34727928	34740627	-1
ENSDARG00000054096	rbm41	RNA binding motif protein 41 [Source:ZFIN;Acc:ZDB-GENE-041114-107]	21	37996822	38031138	-1
ENSDARG00000031261	sap30bp	SAP30 binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-457]	8	13064750	13098192	1
ENSDARG00000051761	trim44	tripartite motif containing 44 [Source:ZFIN;Acc:ZDB-GENE-050522-37]	25	37332636	37338048	-1
ENSDARG00000100464	si:dkey-193i10.1	si:dkey-193i10.1 [Source:ZFIN;Acc:ZDB-GENE-070705-341]	4	71164915	71177920	-1
ENSDARG00000101927	FQ377605.1		2	20146139	20148035	-1
ENSDARG00000028431	adnp2b	ADNP homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5930]	19	20785724	20792473	1
ENSDARG00000092109	BX511093.1		1	17330495	17361155	-1
ENSDARG00000062510	bcl11ba	B cell CLL/lymphoma 11Ba [Source:ZFIN;Acc:ZDB-GENE-061207-62]	17	18117029	18180747	1
ENSDARG00000020417	emx3	empty spiracles homeobox 3 [Source:ZFIN;Acc:ZDB-GENE-990415-53]	14	26363537	26377044	-1
ENSDARG00000091640	si:ch73-352p4.5	si:ch73-352p4.5 [Source:ZFIN;Acc:ZDB-GENE-141219-42]	4	5832311	5834648	1
ENSDARG00000012881	slc4a1a	solute carrier family 4 (anion exchanger), member 1a (Diego blood group) [Source:ZFIN;Acc:ZDB-GENE-010525-1]	3	20065861	20092124	-1
ENSDARG00000031214	arcn1b	archain 1b [Source:ZFIN;Acc:ZDB-GENE-040121-7]	15	18102280	18115624	-1
ENSDARG00000056034	pip4p2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-060503-854]	19	31404686	31431027	1
ENSDARG00000093816	si:ch211-142c4.1	si:ch211-142c4.1 [Source:ZFIN;Acc:ZDB-GENE-100922-47]	1	20593653	20607152	1
ENSDARG00000036094	pias1a	protein inhibitor of activated STAT, 1a [Source:ZFIN;Acc:ZDB-GENE-120727-5]	7	33882597	33949246	-1
ENSDARG00000104979	CR388055.1		5	51482777	51484156	-1
ENSDARG00000057353	ehbp1l1a	EH domain binding protein 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-080917-27]	7	17992455	18074041	1
ENSDARG00000011373	mknk2a	MAP kinase interacting serine/threonine kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-6099]	2	23006792	23024952	1
ENSDARG00000060578	si:dkey-226m8.10	si:dkey-226m8.10 [Source:ZFIN;Acc:ZDB-GENE-060526-258]	5	33199998	33215389	-1
ENSDARG00000037455	ugt8	UDP glycosyltransferase 8 [Source:ZFIN;Acc:ZDB-GENE-060616-129]	1	20556067	20593778	-1
ENSDARG00000096505	si:ch73-103l1.2	si:ch73-103l1.2 [Source:ZFIN;Acc:ZDB-GENE-121214-226]	12	10179452	10193551	1
ENSDARG00000054680	chrna9	cholinergic receptor, nicotinic, alpha 9 [Source:ZFIN;Acc:ZDB-GENE-090312-63]	1	23406403	23417937	1
ENSDARG00000037285	mipa	major intrinsic protein of lens fiber a [Source:ZFIN;Acc:ZDB-GENE-040801-41]	23	27068225	27072774	1
ENSDARG00000042087	dmap1	DNA methyltransferase 1 associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-748]	8	18354485	18367736	-1
ENSDARG00000100460	si:dkey-217g21.3	si:dkey-217g21.3 [Source:ZFIN;Acc:ZDB-GENE-110913-15]	4	62855162	62955373	1
ENSDARG00000088810	prox1b	prospero homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-050107-3]	7	19930564	19940473	-1
ENSDARG00000097173	CR388129.1		15	40125409	40129076	-1
ENSDARG00000015937	kptn	kaptin (actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-040801-258]	5	36913423	36924509	-1
ENSDARG00000092810	stap2a	signal transducing adaptor family member 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5383]	2	49522178	49569304	1
ENSDARG00000099930	col27a1b	collagen, type XXVII, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-100119-2]	5	65180792	65319387	-1
ENSDARG00000102778	fgf17	fibroblast growth factor 17 [Source:ZFIN;Acc:ZDB-GENE-040621-1]	8	52732107	52745168	-1
ENSDARG00000076179	ngef	neuronal guanine nucleotide exchange factor [Source:ZFIN;Acc:ZDB-GENE-130530-794]	15	40074923	40133784	1
ENSDARG00000097921	BX465857.1		17	18237272	18275333	1
ENSDARG00000020031	cldn11a	claudin 11a [Source:ZFIN;Acc:ZDB-GENE-040718-369]	2	25997426	26001173	-1
ENSDARG00000074601	cbln2a	cerebellin 2a precursor [Source:ZFIN;Acc:ZDB-GENE-070912-591]	2	30458706	30460293	-1
ENSDARG00000039430	msl2b	male-specific lethal 2 homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-1621]	24	26941197	26945390	-1
ENSDARG00000099527	nkiras1	NFKB inhibitor interacting Ras-like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-215]	19	17377346	17385548	-1
ENSDARG00000005274	rad52	RAD52 homolog, DNA repair protein [Source:ZFIN;Acc:ZDB-GENE-050731-10]	25	21098675	21115213	1
ENSDARG00000054186	ncs1b	neuronal calcium sensor 1b [Source:ZFIN;Acc:ZDB-GENE-050930-1]	8	32516160	32599858	1
ENSDARG00000093691	BX005301.1		20	52686229	52691004	-1
ENSDARG00000077883	fam83d	family with sequence similarity 83, member D [Source:ZFIN;Acc:ZDB-GENE-041111-264]	11	25328199	25336921	1
ENSDARG00000062190	PDE3B	phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779]	7	27700274	27798509	-1
ENSDARG00000034823	copg2	coatomer protein complex, subunit gamma 2 [Source:ZFIN;Acc:ZDB-GENE-000208-8]	4	15983541	15996191	1
ENSDARG00000020397	snx15	sorting nexin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-1377]	7	19953756	19966406	-1
ENSDARG00000104084	si:dkey-191g9.7	si:dkey-191g9.7 [Source:ZFIN;Acc:ZDB-GENE-141216-135]	13	21689267	21701323	-1
ENSDARG00000113562	si:ch211-221n20.7	si:ch211-221n20.7 [Source:ZFIN;Acc:ZDB-GENE-041014-229]	20	52613021	52616333	-1
ENSDARG00000098623	si:dkey-23f9.4	si:dkey-23f9.4 [Source:ZFIN;Acc:ZDB-GENE-141222-88]	11	11303458	11319853	1
ENSDARG00000095934	si:dkey-151m22.8	si:dkey-151m22.8 [Source:ZFIN;Acc:ZDB-GENE-110411-250]	1	34748695	34750169	-1
ENSDARG00000095911	si:ch211-149b19.4	si:ch211-149b19.4 [Source:ZFIN;Acc:ZDB-GENE-110411-90]	23	43834376	43843790	1
ENSDARG00000036272	gcgrb	glucagon receptor b [Source:ZFIN;Acc:ZDB-GENE-050516-2]	1	56344651	56363108	-1
ENSDARG00000096234	tac4	tachykinin 4 (hemokinin) [Source:ZFIN;Acc:ZDB-GENE-120215-159]	3	34623560	34624745	-1
ENSDARG00000105566	BX005056.1		7	27797821	27799035	1
ENSDARG00000055750	foxp3a	forkhead box P3a [Source:ZFIN;Acc:ZDB-GENE-061116-2]	8	25716308	25729543	-1
ENSDARG00000095607	si:ch211-209f23.3	si:ch211-209f23.3 [Source:ZFIN;Acc:ZDB-GENE-100921-45]	2	49555768	49557932	-1
ENSDARG00000039652	si:dkey-235d18.5	si:dkey-235d18.5 [Source:ZFIN;Acc:ZDB-GENE-041014-243]	20	52584532	52725696	1
ENSDARG00000004823	asz1	ankyrin repeat, SAM and basic leucine zipper domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-988]	18	20642378	20674121	-1
ENSDARG00000077038	pbrm1l	polybromo 1, like [Source:ZFIN;Acc:ZDB-GENE-010501-3]	6	46406565	46431597	1
ENSDARG00000096875	BX294110.1		25	19180930	19193400	-1
ENSDARG00000070495	si:ch211-243g6.3	si:ch211-243g6.3 [Source:ZFIN;Acc:ZDB-GENE-121214-124]	1	10336681	10347307	-1
ENSDARG00000001676	gpm6bb	glycoprotein M6Bb [Source:ZFIN;Acc:ZDB-GENE-030710-10]	9	54751201	54840209	-1
ENSDARG00000045803	mfge8b	milk fat globule-EGF factor 8 protein b [Source:ZFIN;Acc:ZDB-GENE-070209-137]	25	19149241	19192303	1
ENSDARG00000039041	sfrp5	secreted frizzled-related protein 5 [Source:ZFIN;Acc:ZDB-GENE-011108-2]	13	39911551	39947335	-1
ENSDARG00000087832	bcl3	B cell CLL/lymphoma 3 [Source:ZFIN;Acc:ZDB-GENE-061013-1]	16	25701985	25741225	-1
ENSDARG00000003293	sox9a	SRY (sex determining region Y)-box 9a [Source:ZFIN;Acc:ZDB-GENE-001103-1]	12	1947593	1951284	-1
ENSDARG00000060298	nin	ninein (GSK3B interacting protein) [Source:ZFIN;Acc:ZDB-GENE-070725-1]	13	36800334	36844945	-1
ENSDARG00000014927	uts1	urotensin 1 [Source:ZFIN;Acc:ZDB-GENE-041014-348]	20	38724575	38727396	1
ENSDARG00000058480	chtf18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-508]	1	9199031	9227204	1
ENSDARG00000052997	sema4e	semaphorin 4e [Source:ZFIN;Acc:ZDB-GENE-990715-7]	2	49569017	49603681	1
ENSDARG00000008637	mttp	microsomal triglyceride transfer protein [Source:ZFIN;Acc:ZDB-GENE-040419-2]	1	12105901	12126625	-1
ENSDARG00000040001	fryl	furry homolog, like [Source:ZFIN;Acc:ZDB-GENE-040914-58]	20	23315242	23422345	1
ENSDARG00000101726	si:ch211-93f2.1	si:ch211-93f2.1 [Source:ZFIN;Acc:ZDB-GENE-041014-96]	25	30385691	30429750	-1
ENSDARG00000010756	nod2	nucleotide-binding oligomerization domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-061108-4]	7	37555568	37563965	-1
ENSDARG00000097162	CU861891.1		16	54983349	54984158	1
ENSDARG00000092651	si:dkey-57a22.11	si:dkey-57a22.11 [Source:ZFIN;Acc:ZDB-GENE-081104-423]	9	21977383	21983659	1
ENSDARG00000099793	cspg5b	chondroitin sulfate proteoglycan 5b [Source:ZFIN;Acc:ZDB-GENE-060503-368]	19	19278082	19339337	-1
ENSDARG00000075407	BX571825.3		19	23046800	23047282	-1
ENSDARG00000042840	eml1	echinoderm microtubule associated protein like 1 [Source:ZFIN;Acc:ZDB-GENE-060929-156]	17	30976484	31082381	-1
ENSDARG00000037914	znfl1	zinc finger-like gene 1 [Source:ZFIN;Acc:ZDB-GENE-030828-6]	3	34652144	34656745	-1
ENSDARG00000063051	bap1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) [Source:ZFIN;Acc:ZDB-GENE-050208-492]	22	10591958	10605045	-1
ENSDARG00000096063	si:dkey-191j3.1	si:dkey-191j3.1 [Source:ZFIN;Acc:ZDB-GENE-110914-174]	4	29753347	29753895	-1
ENSDARG00000063037	lipea	lipase, hormone-sensitive a [Source:ZFIN;Acc:ZDB-GENE-060503-734]	19	10794072	10826715	1
ENSDARG00000078992	wnk1a	WNK lysine deficient protein kinase 1a [Source:ZFIN;Acc:ZDB-GENE-080917-49]	25	21114671	21156678	-1
ENSDARG00000058824	mrpl4	mitochondrial ribosomal protein L4 [Source:ZFIN;Acc:ZDB-GENE-050522-388]	11	11319141	11331146	-1
ENSDARG00000011259	trpm1a	transient receptor potential cation channel, subfamily M, member 1a [Source:ZFIN;Acc:ZDB-GENE-070112-1372]	7	29312376	29341364	-1
ENSDARG00000059770	cpt1aa	carnitine palmitoyltransferase 1Aa (liver) [Source:ZFIN;Acc:ZDB-GENE-060503-925]	7	48805534	48830121	1
ENSDARG00000073858	pex26	peroxisomal biogenesis factor 26 [Source:ZFIN;Acc:ZDB-GENE-030131-6584]	4	5835393	5841031	1
ENSDARG00000009549	ubr4	ubiquitin protein ligase E3 component n-recognin 4 [Source:ZFIN;Acc:ZDB-GENE-090313-341]	23	21278948	21376847	1
ENSDARG00000023988	dctn4	dynactin 4 [Source:ZFIN;Acc:ZDB-GENE-050417-306]	14	49462855	49490735	1
ENSDARG00000003754	tspan2a	tetraspanin 2a [Source:ZFIN;Acc:ZDB-GENE-050522-511]	6	49107048	49159207	-1
ENSDARG00000114229	si:ch211-221n20.7	si:ch211-221n20.7 [Source:ZFIN;Acc:ZDB-GENE-041014-229]	20	52702012	52705325	-1
ENSDARG00000102412	eci2	enoyl-CoA delta isomerase 2 [Source:ZFIN;Acc:ZDB-GENE-040718-392]	24	2933687	2972039	1
ENSDARG00000079840	kcnma1a	potassium large conductance calcium-activated channel, subfamily M, alpha member 1a [Source:ZFIN;Acc:ZDB-GENE-070202-9]	13	16521898	16886118	1
ENSDARG00000031845	mboat2a	membrane bound O-acyltransferase domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-041210-257]	17	34969123	35076730	-1
ENSDARG00000077852	samd11	sterile alpha motif domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-060428-2]	23	23020709	23123901	1
ENSDARG00000096273	si:dkey-3n22.9	si:dkey-3n22.9 [Source:ZFIN;Acc:ZDB-GENE-120215-95]	19	10805858	10810006	-1
ENSDARG00000062487	si:dkey-6n6.1	si:dkey-6n6.1 [Source:ZFIN;Acc:ZDB-GENE-060503-80]	8	14130245	14151051	-1
ENSDARG00000111367	si:ch211-221n20.4	si:ch211-221n20.4 [Source:ZFIN;Acc:ZDB-GENE-041014-222]	20	52663031	52666150	-1
ENSDARG00000035101	dicp2.1	diverse immunoglobulin domain-containing protein 2.1 [Source:ZFIN;Acc:ZDB-GENE-120306-16]	14	17029813	17038117	-1
ENSDARG00000035715	marcksl1b	MARCKS-like 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2315]	19	29798064	29800812	1
ENSDARG00000070657	pa2g4b	proliferation-associated 2G4, b [Source:ZFIN;Acc:ZDB-GENE-030131-2182]	23	25291891	25301475	1
ENSDARG00000094057	cyp2j20	cytochrome P450, family 2, subfamily J, polypeptide 20 [Source:ZFIN;Acc:ZDB-GENE-041210-324]	20	25597527	25615802	1
ENSDARG00000061635	myo5aa	myosin VAa [Source:ZFIN;Acc:ZDB-GENE-041027-2]	18	38900092	39042201	1
ENSDARG00000056080	si:dkey-191g9.5	si:dkey-191g9.5 [Source:ZFIN;Acc:ZDB-GENE-090313-217]	13	21712284	21739142	-1
ENSDARG00000115571	si:dkey-235d18.6	si:dkey-235d18.6 [Source:ZFIN;Acc:ZDB-GENE-041014-226]	20	52599959	52603094	-1
ENSDARG00000061806	si:dkey-13n15.2	si:dkey-13n15.2 [Source:ZFIN;Acc:ZDB-GENE-060526-209]	5	21033771	21044693	-1
ENSDARG00000029907	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]	20	38730291	38758797	-1
ENSDARG00000099539	dicp2.2	diverse immunoglobulin domain-containing protein 2.2 [Source:ZFIN;Acc:ZDB-GENE-120306-17]	14	17040484	17048266	-1
ENSDARG00000105099	golga7bb	golgin A7 family, member Bb [Source:ZFIN;Acc:ZDB-GENE-090312-173]	13	40019001	40061830	1
ENSDARG00000057209	plppr5a	phospholipid phosphatase related 5a [Source:ZFIN;Acc:ZDB-GENE-070705-281]	2	20262479	20323901	-1
ENSDARG00000022631	cyp2p9	cytochrome P450, family 2, subfamily P, polypeptide 9 [Source:ZFIN;Acc:ZDB-GENE-040120-2]	20	25581627	25584869	1
ENSDARG00000002167	cacnb1	calcium channel, voltage-dependent, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040718-399]	3	16157120	16227683	-1
ENSDARG00000024740	gng13a	guanine nucleotide binding protein (G protein), gamma 13a [Source:ZFIN;Acc:ZDB-GENE-081022-188]	1	9227081	9228007	-1
ENSDARG00000095671	si:ch211-221n20.2	si:ch211-221n20.2 [Source:ZFIN;Acc:ZDB-GENE-041014-225]	20	52639377	52642504	-1
ENSDARG00000088842	KCNB2	potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]	24	13361846	13566015	-1
ENSDARG00000097124	FP015862.1		16	21822734	21823249	-1
ENSDARG00000093509	si:ch211-135f11.6	si:ch211-135f11.6 [Source:ZFIN;Acc:ZDB-GENE-060526-33]	5	23818446	23819822	1
ENSDARG00000079020	gcfc2	GC-rich sequence DNA-binding factor 2 [Source:ZFIN;Acc:ZDB-GENE-080204-19]	17	32531854	32551256	1
ENSDARG00000094603	si:dkey-21h14.12	si:dkey-21h14.12 [Source:ZFIN;Acc:ZDB-GENE-110913-1]	4	11084209	11098539	-1
ENSDARG00000105524	AL954129.1	uncharacterized LOC103911374 [Source:NCBI gene;Acc:103911374]	7	23854361	23858327	-1
ENSDARG00000062002	adnpa	activity-dependent neuroprotector homeobox a [Source:ZFIN;Acc:ZDB-GENE-061215-112]	11	25403561	25408636	1
ENSDARG00000095707	BX322665.2		20	25600105	25605285	-1
ENSDARG00000104801	tubb6	tubulin, beta 6 class V [Source:ZFIN;Acc:ZDB-GENE-070424-195]	24	2941000	2947406	-1
ENSDARG00000110807	si:ch211-221n20.1	si:ch211-221n20.1 [Source:ZFIN;Acc:ZDB-GENE-041014-227]	20	52628875	52631998	-1
ENSDARG00000096798	BX322665.3		20	25580906	25581456	1
ENSDARG00000011956	dlx4a	distal-less homeobox 4a [Source:ZFIN;Acc:ZDB-GENE-980526-73]	3	34670076	34681421	1
ENSDARG00000103760	cfhl2	complement factor H like 2 [Source:ZFIN;Acc:ZDB-GENE-041114-123]	22	23734001	23748284	-1
ENSDARG00000070542	mafbb	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Bb [Source:ZFIN;Acc:ZDB-GENE-010605-4]	11	25382602	25384213	-1
ENSDARG00000011418	sigmar1	sigma non-opioid intracellular receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1006]	10	14488625	14494239	1
ENSDARG00000043467	ndufb11	NADH:ubiquinone oxidoreductase subunit B11 [Source:ZFIN;Acc:ZDB-GENE-050309-25]	8	14180064	14184423	-1
ENSDARG00000024933	spast	spastin [Source:ZFIN;Acc:ZDB-GENE-040426-2331]	1	51021279	51038885	-1
ENSDARG00000097465	trmt61b	tRNA methyltransferase 61B [Source:ZFIN;Acc:ZDB-GENE-131127-35]	17	24815186	24820801	-1
ENSDARG00000042980	cyp2p7	cytochrome P450, family 2, subfamily P, polypeptide 7 [Source:ZFIN;Acc:ZDB-GENE-041001-155]	20	25568694	25615727	1
ENSDARG00000035985	fam210aa	family with sequence similarity 210, member Aa [Source:ZFIN;Acc:ZDB-GENE-030131-5627]	19	12630414	12648408	-1
ENSDARG00000097733	CR932000.1		11	25368296	25408896	-1
ENSDARG00000076994	adgra2	adhesion G protein-coupled receptor A2 [Source:ZFIN;Acc:ZDB-GENE-081104-363]	8	38026683	38159805	-1
ENSDARG00000010957	mpp2b	membrane protein, palmitoylated 2b (MAGUK p55 subfamily member 2) [Source:ZFIN;Acc:ZDB-GENE-040704-70]	12	10199219	10300101	-1
ENSDARG00000056239	tmem45b	transmembrane protein 45B [Source:ZFIN;Acc:ZDB-GENE-040426-1904]	21	25236297	25247052	1
ENSDARG00000026845	rhoaa	ras homolog gene family, member Aa [Source:ZFIN;Acc:ZDB-GENE-040426-2150]	8	14170567	14183265	-1
ENSDARG00000059231	hephl1a	hephaestin-like 1a [Source:ZFIN;Acc:ZDB-GENE-070801-4]	15	2421432	2472933	1
ENSDARG00000042859	slc5a6a	solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6a [Source:ZFIN;Acc:ZDB-GENE-041001-177]	20	36646761	36671660	-1
ENSDARG00000052648	hs3st4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-070202-8]	3	44541322	44753325	-1
ENSDARG00000036190	txnl4a	thioredoxin-like 4A [Source:ZFIN;Acc:ZDB-GENE-041010-25]	19	20793237	20796910	1
ENSDARG00000070541	si:dkeyp-97e7.9	si:dkeyp-97e7.9 [Source:ZFIN;Acc:ZDB-GENE-131121-398]	11	25388747	25397129	1
ENSDARG00000098245	cidea	cell death-inducing DFFA-like effector a [Source:ZFIN;Acc:ZDB-GENE-091204-339]	24	2949937	2959182	-1
ENSDARG00000028581	jkamp	jnk1/mapk8 associated membrane protein [Source:ZFIN;Acc:ZDB-GENE-040718-382]	17	14443406	14451718	-1
ENSDARG00000091512	nfrkb	nuclear factor related to kappaB binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-6419]	21	25246933	25272416	-1
ENSDARG00000100073	BX908757.1		22	26665958	26666940	-1
ENSDARG00000059616	hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070202-7]	3	44947355	45000645	1
ENSDARG00000111615	BX908757.2		22	26649505	26650144	-1
ENSDARG00000059131	spdya	speedy/RINGO cell cycle regulator family member A [Source:ZFIN;Acc:ZDB-GENE-041010-194]	17	24809221	24815220	1
ENSDARG00000000151	thraa	thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]	3	34688022	34753605	-1
ENSDARG00000042621	cryaba	crystallin, alpha B, a [Source:ZFIN;Acc:ZDB-GENE-991119-2]	15	18119618	18124678	-1
ENSDARG00000029751	wbp1lb	WW domain binding protein 1-like b [Source:ZFIN;Acc:ZDB-GENE-050522-112]	1	31674297	31699955	1
ENSDARG00000112426	BX908757.3		22	26644234	26644968	-1
ENSDARG00000092537	BX571825.8		19	23047917	23048219	-1
ENSDARG00000087352	dnah2	dynein, axonemal, heavy chain 2 [Source:ZFIN;Acc:ZDB-GENE-130530-910]	7	21321317	21626580	1
ENSDARG00000042470	s1pr3a	sphingosine-1-phosphate receptor 3a [Source:ZFIN;Acc:ZDB-GENE-050208-347]	22	21475648	21476836	-1
ENSDARG00000100869	adcy9	adenylate cyclase 9 [Source:ZFIN;Acc:ZDB-GENE-050208-455]	22	26600834	26697254	1
ENSDARG00000058032	si:dkey-6n6.2	si:dkey-6n6.2 [Source:ZFIN;Acc:ZDB-GENE-060503-173]	8	14158021	14170576	1
ENSDARG00000075330	phox2ba	paired-like homeobox 2ba [Source:ZFIN;Acc:ZDB-GENE-090313-51]	1	19074326	19079957	-1
ENSDARG00000092950	BX294379.1		1	46725808	46743552	-1
ENSDARG00000045331	pkp4	plakophilin 4 [Source:ZFIN;Acc:ZDB-GENE-120411-14]	6	12197186	12296170	-1
ENSDARG00000015722	kctd5a	potassium channel tetramerization domain containing 5a [Source:ZFIN;Acc:ZDB-GENE-030131-727]	3	45261387	45281350	-1
ENSDARG00000012125	cnga1b	cyclic nucleotide gated channel alpha 1b [Source:ZFIN;Acc:ZDB-GENE-110408-39]	23	43849190	43866354	1
ENSDARG00000042990	cyp2p10	cytochrome P450, family 2, subfamily P, polypeptide 10 [Source:ZFIN;Acc:ZDB-GENE-040120-1]	20	25586099	25593607	1
ENSDARG00000007382	ubtd1a	ubiquitin domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-070424-93]	13	31371536	31378683	-1
ENSDARG00000094417	si:dkey-13n15.2	si:dkey-13n15.2 [Source:ZFIN;Acc:ZDB-GENE-060526-209]	5	21059459	21065094	-1
ENSDARG00000036499	zgc:162171	zgc:162171 [Source:ZFIN;Acc:ZDB-GENE-070424-24]	7	23865336	23873173	-1
ENSDARG00000097813	BX927323.1		5	36934568	36943975	-1
ENSDARG00000068483	neto1	neuropilin (NRP) and tolloid (TLL)-like 1 [Source:ZFIN;Acc:ZDB-GENE-070912-592]	2	30463825	30480455	1
ENSDARG00000055885	tex10	testis expressed 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2827]	16	27508381	27543092	-1
ENSDARG00000042982	cyp2p8	cytochrome P450, family 2, subfamily P, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-061030-1]	20	25575391	25580002	1
ENSDARG00000011989	crx	cone-rod homeobox [Source:ZFIN;Acc:ZDB-GENE-010403-1]	5	36932718	36936443	1
ENSDARG00000021324	nsun4	NOL1/NOP2/Sun domain family, member 4 [Source:ZFIN;Acc:ZDB-GENE-041212-77]	2	10160484	10169433	1
ENSDARG00000068128	ppp1r15b	protein phosphatase 1, regulatory subunit 15B [Source:ZFIN;Acc:ZDB-GENE-030829-40]	18	27077853	27085828	1
ENSDARG00000007808	zdhhc16a	zinc finger, DHHC-type containing 16a [Source:ZFIN;Acc:ZDB-GENE-040426-1621]	13	31379784	31389661	-1
ENSDARG00000100363	dcun1d5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-2603]	18	3533787	3552550	-1
ENSDARG00000087509	si:ch73-322b17.4	si:ch73-322b17.4 [Source:ZFIN;Acc:ZDB-GENE-131121-87]	16	21827332	21829594	-1
ENSDARG00000032010	slc15a2	solute carrier family 15 (oligopeptide transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5866]	9	37320222	37339656	1
ENSDARG00000011079	wdr3	WD repeat domain 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9830]	9	20853894	20872565	1
ENSDARG00000060130	dusp3b	dual specificity phosphatase 3b [Source:ZFIN;Acc:ZDB-GENE-030616-38]	3	34683096	34688277	1
ENSDARG00000007867	dazap2	DAZ associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3036]	23	33718602	33729552	1
ENSDARG00000078125	rusc1	RUN and SH3 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-100922-274]	16	14029283	14055309	1
ENSDARG00000062304	pdpk1a	3-phosphoinositide dependent protein kinase 1a [Source:ZFIN;Acc:ZDB-GENE-061013-109]	3	45283391	45308394	-1
ENSDARG00000039999	slc13a5b	solute carrier family 13 (sodium-dependent citrate transporter), member 5b [Source:ZFIN;Acc:ZDB-GENE-130530-605]	15	26573676	26593684	1
ENSDARG00000036549	agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2765]	1	46837849	46875493	-1
ENSDARG00000074169	gpam	glycerol-3-phosphate acyltransferase, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-101026-1]	12	31494830	31534090	1
